COMPANY NAME,CITY,STATE,ZIP CODE,STREET ADDRESS CITY,STREET ADDRESS,STREET ADDRESS ZIP,COUNTY,PHONE NUMBER,FAX NUMBER,WEB ADDRESS,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT GENDER,ACTUAL EMPLOYEE SIZE,EMPLOYEE SIZE RANGE,ACTUAL SALES VOLUME,SALES VOLUME RANGE,Industry,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,CREDIT ALPHA SCORE,CREDIT NUMERIC SCORE,HEADQUARTERS/BRANCH,SQUARE FOOTAGE
S W Rodgers Co,Gainesville,VA,20156-0398,Gainesville,5816 Wellington Rd,20155-1669,Prince William,7.04E+09,7.04E+09,www.swrodgers.com,Rogers,Kurt,Owner,Male,800,500 to 999,1.27E+08,$100 - 500 Million,Construction,179403,Excavating Contractors,177105,Concrete Contractors,,,A+,98,Single Loc,"2,500 - 9,999"
Madison Gas & Electric Co,Madison,WI,53703-3432,Madison,133 S Blair St,53703-3432,Dane,6.08E+09,6.08E+09,www.mge.com,Wolter,Gary,President,Male,800,500 to 999,1.06E+08,$100 - 500 Million,Construction,173101,Electric Contractors,173101,Electric Contractors,,,A+,100,Branch,"2,500 - 9,999"
APW Mayville,Mayville,WI,53050-0028,Mayville,403 Degner Ave,53050-1513,Dodge,9.20E+09,9.20E+09,www.apw.com,Ehlers,Myron,Manager,Male,800,500 to 999,0,,Construction,179104,Metal Fabricators,179104,Metal Fabricators,344106,Steel-Structural (Manufacturers),A+,100,Subsidiary,"40,000+"
Mc Arthur Dairy,Miami,FL,33127-4205,Miami,2451 NW 7th Ave,33127-4205,Miami Dade,3.06E+09,3.06E+09,www.deanfoods.com,Collazo,Eugene,Manager,Male,27030,10000+,0,,"Agriculture, Forestry, Fishing",24101,Dairies (Milk),24101,Dairies (Milk),202498,Ice Cream & Frozen Desserts (Mfrs),A+,100,Subsidiary,"40,000+"
T G Lee Dairy,Orlando,FL,32802-3033,Orlando,315 N Bumby Ave,32803-6088,Orange,4.08E+09,4.08E+09,www.tgleedairy.com,Burkel,Doug,Plant Mgr,Male,27030,10000+,0,,"Agriculture, Forestry, Fishing",24101,Dairies (Milk),24101,Dairies (Milk),202498,Ice Cream & Frozen Desserts (Mfrs),A+,100,Subsidiary,"40,000+"
Pet Dairy,Johnson City,TN,37601-1502,Johnson City,2900 Bristol Hwy,37601-1502,Washington,4.23E+09,4.23E+09,www.suizafoods.com,Fehr,Rick,CEO,Male,27030,10000+,0,,"Agriculture, Forestry and Fishing",24103,Dairy Farms,24103,Dairy Farms,202498,Ice Cream & Frozen Desserts (Mfrs),A+,100,Subsidiary,"40,000+"
Acme Markets Inc,Malvern,PA,19355-1406,Malvern,75 Valley Stream Pkwy,19355-1406,Chester,6.11E+09,6.11E+09,www.acmemarkets.com,Jablonski,Carl,Plant Mgr,Male,15000,10000+,2.50E+09,Over $1 Billion,"Agriculture, Forestry and Fishing",78206,Lawn & Grounds Maintenance,78204,Landscape Contractors,179943,Retaining Walls,U,65,Single Loc,"0 - 2,499"
Tru Green Chem Lawn,Memphis,TN,38187-0167,Memphis,860 Ridge Lake Blvd,38120-9434,Shelby,9.02E+09,9.02E+09,www.trugreen.com,Sutton,Dennis,President,Male,10000,10000+,0,,"Agriculture, Forestry and Fishing",78206,Lawn & Grounds Maintenance,78206,Lawn & Grounds Maintenance,287301,Fertilizers-Manufacturers,A+,100,Subsidiary,"2,500 - 9,999"
84 Lumber Co,Eighty Four,PA,15330-8484,Eighty Four,1019 Route 519,15330-2813,Washington,7.24E+09,7.24E+09,www.84lumber.com,Hardy Sr,Joseph A,CEO,Male,9500,5000 to 9999,3.46E+09,Over $1 Billion,"Agriculture, Forestry and Fishing",74201,Veterinarians,74201,Veterinarians,,,P,90,Single Loc,"0 - 2,499"
Ace Ina Holdings Inc,Philadelphia,PA,19103-4202,Philadelphia,1601 Chestnut St,19103-4202,Philadelphia,2.16E+09,2.16E+09,www.ace-ina.com,Dowd,Brian,CEO,Male,8000,5000 to 9999,0,,"Agriculture, Forestry and Fishing",78204,Landscape Contractors,78103,Landscape Designers,,,C+,76,Single Loc,"0 - 2,499"
AAMCO Transmissions Inc,Bala Cynwyd,PA,19004-1017,Bala Cynwyd,1 Presidential Blvd,19004-1017,Montgomery,6.11E+09,6.11E+09,www.aamco.com,Morgan,Keith A,CEO,Male,6000,5000 to 9999,7.50E+08,$500 Million - $1 Billion,"Agriculture, Forestry and Fishing",78204,Landscape Contractors,78204,Landscape Contractors,,,C+,77,Single Loc,"0 - 2,499"
Davey Tree Expert Co,Kent,OH,44240-5193,Kent,1500 N Mantua St,44240-2399,Portage,3.31E+09,3.31E+09,www.davey.com,Cowan,R Douglas,CEO,Male,5100,5000 to 9999,3.99E+08,$100 - 500 Million,"Agriculture, Forestry and Fishing",78101,Horticultural Consultants,78101,Horticultural Consultants,78301,Tree Service,A+,100,Headquarter,"40,000+"
Abington Memorial Hospital,Abington,PA,19001-3788,Abington,1200 Old York Rd,19001-3788,Montgomery,2.15E+09,2.15E+09,www.amh.org,Jones Jr,Richard L,CEO,Male,3500,1000 to 4999,3.71E+08,$100 - 500 Million,"Agriculture, Forestry and Fishing",78204,Landscape Contractors,78204,Landscape Contractors,78206,Lawn & Grounds Maintenance,U,65,Single Loc,"0 - 2,499"
Monterey Mushrooms Inc,Watsonville,CA,95076-2452,Watsonville,260 Westgate Dr,95076-2452,Santa Cruz,8.32E+09,8.32E+09,www.montereymushrooms.com,Kazmi,Shah,CEO,Male,3200,1000 to 4999,1.95E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",18201,Mushrooms,18201,Mushrooms,203302,Canning (Manufacturers),A+,100,Headquarter,"2,500 - 9,999"
Azcona Harvesting,Greenfield,CA,93927-5637,Greenfield,44 El Camino Real # A,93927-5637,Monterey,8.32E+09,8.32E+09,www.azcona.com,Azcona,Nick,Owner,Male,3000,1000 to 4999,2.52E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",76103,Harvesting-Contract,76103,Harvesting-Contract,,,A+,100,Single Loc,"40,000+"
Brickman Group LTD,Gaithersburg,MD,20879-5334,Gaithersburg,18227 Flower Hill Way # D,20879-5334,Montgomery,3.02E+09,2.41E+09,www.brickmangroup.com,Brickman,Scott,CEO,Male,3000,1000 to 4999,2.24E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",78103,Landscape Designers,78103,Landscape Designers,,,A+,100,Headquarter,"40,000+"
Andersons Inc,Maumee,OH,43537-0119,Maumee,480 W Dussel Dr,43537-1690,Lucas,4.20E+09,4.20E+09,www.andersonsinc.com,Anderson,Michael J,CEO,Male,2750,1000 to 4999,1.30E+09,Over $1 Billion,"Agriculture, Forestry and Fishing",13901,Agricultural Products,11999,Cash Grains Nec,204102,Milling,A+,100,Headquarter,"40,000+"
Irvine Co,Newport Beach,CA,92658-6370,Newport Beach,550 Newport Center Dr,92660-7061,Orange,9.50E+09,9.50E+09,www.irvinecompany.com,Davis,Joseph,Plant Mgr,Male,2300,1000 to 4999,1.50E+09,Over $1 Billion,"Agriculture, Forestry, Fishing",19101,Farms,17401,Citrus Growers,152112,Home Builders,A+,98,Headquarter,"40,000+"
Irvine Co,Newport Beach,CA,92658-6370,Newport Beach,550 Newport Center Dr,92660-7061,Orange,9.50E+09,9.50E+09,www.irvinecompany.com,Davis,Joseph,Plant Mgr,Male,2300,1000 to 4999,1.50E+09,Over $1 Billion,"Agriculture, Forestry, Fishing",19101,Farms,17401,Citrus Growers,152112,Home Builders,A+,98,Headquarter,"40,000+"
Prairie Farms Inc,Carlinville,IL,62626-0560,Carlinville,1100 Broadway St,62626-1183,Macoupin,2.18E+09,2.18E+09,www.prairiefarms.com,Capps,Roger,CEO,Male,2200,1000 to 4999,7.09E+08,$500 Million - $1 Billion,"Agriculture, Forestry, Fishing",24101,Dairies,24101,Dairies,202198,Creamery Butter (Manufacturers),A+,100,Headquarter,"40,000+"
Park West Co Inc,Rcho Sta Marg,CA,92688-2104,Rcho Sta Marg,22421 Gilberto # A,92688-2104,Orange,9.50E+09,9.50E+09,www.parkwestlandscape.com,Tracy,Mike,President,Male,2000,1000 to 4999,0,,"Agriculture, Forestry, Fishing",78204,Landscape Contractors,78204,Landscape Contractors,,,A+,98,Headquarter,"2,500 - 9,999"
Monrovia Nursery Co,Azusa,CA,91702-1385,Irwindale,18331 E Foothill Blvd,91702-2638,Los Angeles,6.26E+09,6.26E+09,www.monrovia.com,Usrey,William B,CEO,Male,2000,1000 to 4999,0,,"Agriculture, Forestry, Fishing",18198,Ornamental Floriculture & Nursery Prods,18198,Ornamental Floriculture & Nursery Prods,78103,Landscape Designers,A+,100,Headquarter,"40,000+"
Bartlett Tree Experts,Stamford,CT,06905-0067,Stamford,1290 E Main St,06902-3555,Fairfield,2.03E+09,2.03E+09,www.bartlett.com,Bartlett Jr,Robert A,CEO,Male,2000,1000 to 4999,1.24E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",78301,Tree Service,78301,Tree Service,874213,Marketing Programs & Services,A+,100,Headquarter,"2,500 - 9,999"
William Bolthouse Farms In,Bakersfield,CA,93307-3099,Bakersfield,7200 E Brundage Ln,93307-3099,Kern,6.61E+09,6.61E+09,www.bolthouse.com,Radandt,Andre,CEO,Male,1800,1000 to 4999,1.10E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",19101,Farms,19101,Farms,509901,Exporters,C+,78,Single Loc,"40,000+"
Foster Farms,Fresno,CA,93706-5445,Fresno,2960 S Cherry Ave,93706-5445,Fresno,5.59E+09,5.59E+09,www.fosterfarms.com,Shows,Scott,Plant Mgr,Male,1800,1000 to 4999,7.31E+08,$500 Million - $1 Billion,"Agriculture, Forestry, Fishing",25401,Poultry Farms,25401,Poultry Farms,514404,Poultry-Wholesale,A+,100,Branch,"40,000+"
Mountaire Farms-Delaware Inc,Millsboro,DE,19966-5320,Millsboro,29005 John J Williams Hwy,19966 0000,Sussex,3.03E+09,3.03E+09,www.mountaire.com,Pogge,Dave,President,Male,1600,1000 to 4999,2.85E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",19101,Farms,19101,Farms,,,B+,88,Single Loc,"40,000+"
Blue Diamond Growers,Sacramento,CA,95812-1768,Sacramento,1802 C St,95814-1099,Sacramento,9.16E+09,9.16E+09,www.bluediamond.com,Youngdahl,Douglas D,CEO,Male,1500,1000 to 4999,0,,"Agriculture, Forestry, Fishing",72308,Nuts-Edible-Processing,72308,Nuts-Edible-Processing,206801,Salted & Roasted Nuts & Seeds (Mfrs),A+,100,Headquarter,"2,500 - 9,999"
One Source Landscape & Golf,Tampa,FL,33634-2412,Tampa,5028 Tampa West Blvd,33634-2412,Hillsborough,8.14E+09,8.13E+09,www.one-source.com,Lebaron,Bill,Executive Director,Male,1400,1000 to 4999,0,,"Agriculture, Forestry, Fishing",78204,Landscape Contractors,78204,Landscape Contractors,78301,Tree Service,A+,98,Subsidiary,"2,500 - 9,999"
National Grape Co-Op,Westfield,NY,14787-1400,Westfield,2 S Portage St,14787-1400,Chautauqua,7.16E+09,7.16E+09,www.nationalgrape.com,Graham,Randolph H,President,Male,1390,1000 to 4999,6.79E+08,$500 Million - $1 Billion,"Agriculture, Forestry and Fishing",17201,Vineyards,17201,Vineyards,203702,"Frozen Fruit, Fruit Juices/Vegs (Mfrs)",A+,100,Headquarter,"10,000 - 39,999"
ABARTA Inc,Pittsburgh,PA,15238-2968,Pittsburgh,1000 Ridc Plz # 404,15238-2968,Allegheny,4.13E+09,4.13E+09,www.abarta.com,Bitzer III,John F,CEO,Male,1300,1000 to 4999,0,,"Agriculture, Forestry and Fishing",78204,Landscape Contractors,78204,Landscape Contractors,,,U,65,Single Loc,"0 - 2,499"
Adelphia,Coudersport,PA,16915-1630,Coudersport,1 N Main St,16915-1630,Potter,8.14E+09,8.14E+09,www.adelphia.com,Raptis,Charlie,Sr VP,Male,1300,1000 to 4999,5.58E+08,$500 Million - $1 Billion,"Agriculture, Forestry and Fishing",85102,Foresters-Consulting,85102,Foresters-Consulting,,,U,67,Single Loc,"2,500 - 9,999"
Aviagen Inc,Huntsville,AL,35805-1943,Huntsville,5015 Bradford Dr NW,35805-1943,Madison,2.57E+09,2.57E+09,www.aviagen.com,Ennis,Randall,President,Male,1250,1000 to 4999,0,,"Agriculture, Forestry, Fishing",25401,Poultry Farms,25401,Poultry Farms,549907,Poultry-Retail,A+,100,Headquarter,"40,000+"
Hubbard Feeds Inc,Mankato,MN,56002-8500,Mankato,424 N Riverfront Dr,56001-3447,Blue Earth,5.07E+09,5.07E+09,www.hubbardfeeds.com,Galway,Bob,CEO,Male,1200,1000 to 4999,0,,"Agriculture, Forestry, Fishing",21101,Livestock Feeding,21101,Livestock Feeding,204102,Milling,A+,100,Headquarter,"40,000+"
Bland Farms,Glennville,GA,30427-7020,Glennville,6094 Highway 121,30427 0000,Tattnall,9.13E+09,9.13E+09,www.blandfarms.com,Bland,Delbert,Manager,Male,1000,1000 to 4999,12900000,$10 - 20 Million,"Agriculture, Forestry, Fishing",19101,Farms,19101,Farms,874213,Marketing Programs & Services,A+,100,Branch,"40,000+"
Village Farms LP,Eatontown,NJ,07724-3328,Eatontown,7 Christopher Way,07724-3328,Monmouth,7.33E+09,7.33E+09,www.villagefarms.com,Degiglio,Michael A,CEO,Male,1000,1000 to 4999,1.10E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",18202,Hydroponics,18202,Hydroponics,154207,Greenhouse Builders,U,60,Headquarter,"2,500 - 9,999"
Atlantic Blueberry Co,Hammonton,NJ,08037-3414,Hammonton,7201 Weymouth Rd,08037-3414,Atlantic,6.10E+09,6.10E+09,www.atlanticblueberry.com,Geletta,Arthur,President,Male,1000,1000 to 4999,1.78E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",19101,Farms,19101,Farms,,,A+,98,Single Loc,"40,000+"
Acme Distribution Ctr,Denver,PA,17517-9774,Denver,500 S Muddy Creek Rd,17517-9774,Lancaster,7.17E+09,7.17E+09,www.albertsons.com,Rood,Brian,Manager,Male,1000,1000 to 4999,2.26E+08,$100 - 500 Million,"Agriculture, Forestry and Fishing",78206,Lawn & Grounds Maintenance,78206,Lawn & Grounds Maintenance,,,U,65,Single Loc,"0 - 2,499"
Hiland Dairy Foods Co,Springfield,MO,65801-2270,Springfield,1133 E Kearney St,65803-3435,Greene,4.18E+09,4.18E+09,www.hilanddairy.com,Aggus,Gary,President,Male,950,500 to 999,3.36E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",24101,Dairies,24101,Dairies,202398,Dry Condensed/Evprtd Dairy Prod (Mfr),A+,98,Headquarter,"40,000+"
Florida's Natural Growers,Lake Wales,FL,33859-1111,Lake Wales,20205 Highway 27,33853-2428,Polk,8.64E+09,8.64E+09,www.floridasnatural.com,Caruso,Stephen M,CEO,Male,900,500 to 999,75600000,$50 - 100 Million,"Agriculture, Forestry, Fishing",72303,Citrus Fruit Processing,72303,Citrus Fruit Processing,874213,Marketing Programs & Services,A,92,Single Loc,"40,000+"
Asplundh Tree Expert Co,Scottdale,GA,30079-1300,Scottdale,3255 Church St,30079-1300,De Kalb,4.04E+09,4.04E+09,www.asplundh.com,Morrison,Ernest,VP,Male,900,500 to 999,75600000,$50 - 100 Million,"Agriculture, Forestry, Fishing",78301,Tree Service,78301,Tree Service,,,A+,100,Branch,"40,000+"
Paramount Farms,Lost Hills,CA,93249-9719,Lost Hills,13646 Highway 33,93249-9719,Kern,6.62E+09,6.62E+09,www.paramountfarms.com,Szeflin,Dave,Manager,Male,800,500 to 999,1.42E+08,$100 - 500 Million,"Agriculture, Forestry, Fishing",19101,Farms,19101,Farms,,,C+,76,Single Loc,"40,000+"
GE Interlogix Inc,Austin,TX,78701-3956,300 W 6th St # 1850,Austin,78701-3956,Travis,5.12E+09,5.12E+09,www.interlogixinc.com,Boyda,Kenneth L,CEO,Male,3344,1000 to 4999,5.40E+08,$500 Million - $1 Billion,Manufacturing,366902,Security Control Equip & Systems-Mfrs,366902,Security Control Equip & Systems-Mfrs,738202,Security Systems,A+,100,Subsidiary,"40,000+"
Sappi Fine Paper,Boston,MA,02110-2889,Boston,225 Franklin St # 28,02110-2889,Suffolk,6.17E+09,6.18E+09,www.sappi.com,Hagen,Veronica,CEO,Female,3330,1000 to 4999,1.41E+09,Over $1 Billion,Manufacturing,262101,Paper-Manufacturers,262101,Paper-Manufacturers,267298,Coated & Laminated Paper Nec (Mfrs),A+,100,Headquarter,"40,000+"
Cooper Bussmann,St Louis,MO,63178-4460,Ellisville,114 Old State Rd,63021-5915,St Louis,6.36E+09,6.37E+09,www.bussmann.com,,,,,3326,1000 to 4999,0.00E+00,,Manufacturing,361304,Fuses-Electric-Manufacturers,361304,Fuses-Electric-Manufacturers,364504,Lighting Fixtures-Manufacturers,A+,100,Subsidiary,"40,000+"
Matrix Service Co,Tulsa,OK,74116-1517,Tulsa,10701 E Ute St,74116-1517,Tulsa,9.19E+09,9.19E+09,www.matrixservice.com,Hall,Michael J,CEO,Male,3313,1000 to 4999,4.39E+08,$100 - 500 Million,Manufacturing,355919,Petroleum Equipment (Manufacturers),355919,Petroleum Equipment (Manufacturers),508806,Tanks-Metal (Wholesale),A+,100,Headquarter,"40,000+"
Daimler Chrysler Corp,Belvidere,IL,61008-6094,Belvidere,3000 Chrysler Dr,61008-6094,Boone,8.16E+09,,www.chrysler.com,Kavagecz,Kurt,Plant Mgr,Male,3300,1000 to 4999,2.62E+09,Over $1 Billion,Manufacturing,371102,Automobile-Manufacturers,371102,Automobile-Manufacturers,501208,Automobile & Truck Brokers,A+,100,Branch,"40,000+"
H C Starck Inc,Newton,MA,02461-1951,Newton,45 Industrial Pl,02461-1951,Middlesex,6.18E+09,6.18E+09,www.hcstarck.com,Mchugh,Larry F,CEO,Male,3300,1000 to 4999,2.10E+08,$100 - 500 Million,Manufacturing,333998,Primary Smelting/Refining-Nonferrous Mtl,333998,Primary Smelting/Refining-Nonferrous Mtl,349698,Fabricated Wire Products-Misc (Mfrs),A+,98,Subsidiary,"40,000+"
Star Tribune,Minneapolis,MN,55488-0002,Minneapolis,425 Portland Ave,55488-0002,Hennepin,6.13E+09,6.13E+09,www.startribune.com,Moyer,Keith,President,Male,3300,1000 to 4999,0.00E+00,,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),731106,Advertising-Newspaper,A+,100,Subsidiary,"40,000+"
Nautica Enterprises Inc,New York,NY,10019-4005,New York,40 W 57th St # 3,10019-4005,New York,2.12E+09,2.13E+09,www.nautica.com,Chu,David,CEO,Male,3300,1000 to 4999,0.00E+00,,Manufacturing,233907,Clothing-Manufacturers,233907,Clothing-Manufacturers,509905,Importers,A+,100,Subsidiary,"2,500 - 9,999"
Sauder Woodworking Co,Archbold,OH,43502-0156,Archbold,502 Middle St,43502-1500,Fulton,4.19E+09,4.19E+09,www.sauder.com,Sauder,Kevin J,CEO,Male,3300,1000 to 4999,1.92E+08,$100 - 500 Million,Manufacturing,251998,Household Furniture Nec (Mfrs),251198,Wood-Household Furn-Ex Upholstered (Mfr),259901,Furniture-Manufacturers,A+,100,Single Loc,"40,000+"
Blount International Inc,Portland,OR,97269-2127,Portland,4909 SE International Way,97222-4601,Clackamas,5.04E+09,5.04E+09,www.blount.com,Osterman,James S,CEO,Male,3300,1000 to 4999,6.93E+08,$500 Million - $1 Billion,Manufacturing,352409,Lawn & Garden Outdoor Power Equip (Mfrs),352409,Lawn & Garden Outdoor Power Equip (Mfrs),359915,Manufacturers Distrs & Indl Products,A+,100,Headquarter,"40,000+"
Haggar Corp,Dallas,TX,75234-6022,11511 Luna Rd,Dallas,75234-6022,Dallas,2.14E+09,2.15E+09,www.haggar.com,Haggar Iii,Joseph M,CEO,Male,3300,1000 to 4999,4.88E+08,$100 - 500 Million,Manufacturing,232901,Men's Clothing-Manufacturers,231198,Mens & Boys Suits Coats/Overcoats (Mfrs),232101,Shirts-Manufacturers,A+,100,Headquarter,"40,000+"
Clarke American Corp,San Antonio,TX,78292-0460,10931 Laureate Dr # 34,San Antonio,78249-3350,Bexar,2.11E+09,2.11E+09,www.clarkeamerican.com,Korbell Jr,Charles L,CEO,Male,3300,1000 to 4999,0.00E+00,,Manufacturing,275202,Printers,275202,Printers,874213,Marketing Programs & Services,A+,100,Subsidiary,"40,000+"
Actuant Corp,Milwaukee,WI,53201-3241,Milwaukee,6100 N Baker Rd,53209-3704,Milwaukee,4.14E+09,4.14E+09,www.actuant.com,Arzbaecher,Robert C,CEO,Male,3300,1000 to 4999,7.27E+08,$500 Million - $1 Billion,Manufacturing,359998,Indstrl/Coml Machinery/Equip Nec (Mfrs),349198,Industrial Valves (Manufacturers),349498,Valves & Pipe Fittings Nec (Mfrs),A+,100,Headquarter,"10,000 - 39,999"
Mill's Pride,Waverly,OH,45690-9700,Waverly,423 Hopewell Rd,45690-9700,Pike,7.41E+09,7.41E+09,www.millspride.com,Metzger,Reinhard,CEO,Male,3252,1000 to 4999,0.00E+00,,Manufacturing,242698,Hardwood Dimension & Flooring Mills,242698,Hardwood Dimension & Flooring Mills,308398,Laminated Plstcs-Plate Sht/Profile (Mfr),A+,100,Subsidiary,"40,000+"
Fresh Express Inc,Salinas,CA,93912-0599,Salinas,950 E Blanco Rd,93901-4419,Monterey,8.32E+09,8.32E+09,www.freshexpress.com,Taylor,Steve,CEO,Male,3200,1000 to 4999,0.00E+00,,Manufacturing,209913,Salad Products-Manufacturers,209913,Salad Products-Manufacturers,,,A+,100,Subsidiary,"2,500 - 9,999"
International Displayworks Inc,Roseville,CA,95661-3542,Roseville,1613 Santa Clara Dr # 100,95661-3542,Placer,9.17E+09,9.17E+09,www.idwlcd.com,Lacey,Thomas A,CEO,Male,3200,1000 to 4999,8.83E+07,$50 - 100 Million,Manufacturing,367901,Electronic Equipment & Supplies-Mfrs,367901,Electronic Equipment & Supplies-Mfrs,874213,Marketing Programs & Services,A+,100,Headquarter,"10,000 - 39,999"
Simmons Bedding Co,Atlanta,GA,30328-6188,Atlanta,1 Concourse Pkwy NE # 800,30328-6188,Fulton,7.71E+09,7.70E+09,www.simmons.com,Eitel,Charles R,CEO,Male,3200,1000 to 4999,6.70E+08,$500 Million - $1 Billion,Manufacturing,251501,Mattresses-Manufacturers,251501,Mattresses-Manufacturers,571210,Bedding,A+,100,Headquarter,"40,000+"
Schott Corp,Elmsford,NY,10523-2363,Elmsford,555 Taxter Rd,10523-2363,Westchester,9.15E+09,,www.us.schott.com,Roberts,Doug,CEO,Male,3200,1000 to 4999,4.95E+08,$100 - 500 Million,Manufacturing,323117,Glass Products (Manufacturers),322905,Pressed/Blown Glass/Glassware-Nec (Mfrs),384104,Physicians & Surgeons Equip & Supls-Mfrs,A+,100,Headquarter,"10,000 - 39,999"
Park-Ohio Holdings Corp,Cleveland,OH,44117-1729,Cleveland,23000 Euclid Ave,44117-1729,Cuyahoga,2.17E+09,2.17E+09,www.pkoh.com,Crawford,Edward F,CEO,Male,3200,1000 to 4999,8.09E+08,$500 Million - $1 Billion,Manufacturing,346201,Forgings (Manufacturers),131101,Oil & Gas Producers,306917,Rubber-Mfrs Supplies (Manufacturers),A+,100,Headquarter,"40,000+"
Howden Buffalo Inc,Camden,SC,29020-2093,Camden,2029 W Dekalb St,29020-2093,Kershaw,8.04E+09,8.04E+09,www.quickfans.com,Cleland,Bob,President,Male,3200,1000 to 4999,0.00E+00,,Manufacturing,356401,Fans-Industrial & Commercial-Mfrs,356401,Fans-Industrial & Commercial-Mfrs,,,A,93,Headquarter,"2,500 - 9,999"
Longview Fibre Co,Longview,WA,98632-7411,Longview,300 Fibre Way,98632 0000,Cowlitz,3.60E+09,3.61E+09,www.longviewfibre.com,Wollenberg,Richard H,CEO,Male,3200,1000 to 4999,8.31E+08,$500 Million - $1 Billion,Manufacturing,265301,Corrugated & Solid Fiber Boxes (Mfrs),81198,Timber Tracts,241101,Pulpwood (Manufacturers),A+,100,Headquarter,"40,000+"
Broan-Nu Tone Group,Hartford,WI,53027-1066,Hartford,926 W State St,53027-1066,Washington,2.63E+09,2.63E+09,www.broan.com,Pringle,Dave,CEO,Male,3200,1000 to 4999,0.00E+00,,Manufacturing,344403,Sheet Metal Fabricators,344403,Sheet Metal Fabricators,356413,Ventilating Equipment-Manufacturers,A+,100,Subsidiary,"40,000+"
Seneca Foods Corp,Marion,NY,14505-9751,Marion,3736 S Main St,14505-9751,Wayne,3.16E+09,3.16E+09,www.senecafoods.com,Kayser,Kraig H,CEO,Male,3183,1000 to 4999,8.64E+08,$500 Million - $1 Billion,Manufacturing,209903,Food Products & Manufacturers,203302,Canning (Manufacturers),203303,Juices-Manufacturers,A+,100,Headquarter,"40,000+"
Associated Materials Inc,Cuyahoga Falls,OH,44223-2603,Cuyahoga Falls,3773 State Rd,44223-2603,Summit,3.31E+09,3.31E+09,www.associatedmaterials.com,Caporale Jr,Michael J,CEO,Male,3173,1000 to 4999,1.09E+09,Over $1 Billion,Manufacturing,243103,Building Materials-Manufacturers,243103,Building Materials-Manufacturers,308921,Windows-Plastic-Manufacturers,A+,100,Headquarter,"10,000 - 39,999"
Gen Corp Inc,Sacramento,CA,95853-7012,Rancho Cordova,Highway 50 & Aerojet Rd,95742 0000,Sacramento,9.16E+09,9.16E+09,www.gencorp.com,Hall,Terry L,CEO,Male,3101,1000 to 4999,6.24E+08,$500 Million - $1 Billion,Manufacturing,381201,Aerospace Industries,281998,Industrial Inorganic Chmcls Nec (Mfrs),289201,Explosives-Manufacturers,A+,100,Headquarter,"40,000+"
Space Systems Loral Inc,Palo Alto,CA,94303-4604,Palo Alto,3825 Fabian Way,94303-4604,Santa Clara,6.51E+09,6.51E+09,www.ssloral.com,Dewitt,Patrick,CEO,Male,3100,1000 to 4999,1.00E+09,Over $1 Billion,Manufacturing,381201,Aerospace Industries,381201,Aerospace Industries,,,C,70,Subsidiary,"40,000+"
US Government Printing Office,Washington,DC,20401-0003,Washington,732 N Capitol St NW # 808,20401-0003,Dist Columbia,2.03E+09,2.03E+09,www.access.gpo.gov,James,Bruce K,CEO,Male,3100,1000 to 4999,0.00E+00,,Manufacturing,274115,Government-Publishing Nec,274115,Government-Publishing Nec,,,A,91,Headquarter,"2,500 - 9,999"
G M Powertrain,Flint,MI,48550-0001,Flint,902 E Hamilton Ave,48550-0001,Genesee,8.10E+09,8.10E+09,www.gm.com,Arcamone,Mike,Manager,Male,3100,1000 to 4999,9.95E+08,$500 Million - $1 Billion,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,356601,Gears & Gear Cutting (Manufacturers),509905,Importers,A+,100,Branch,"40,000+"
Lorillard Inc,Greensboro,NC,27420-1688,Greensboro,714 Green Valley Rd,27408-7018,Guilford,3.36E+09,3.36E+09,www.lorillard.net,Orlowsky,Martin L,CEO,Male,3100,1000 to 4999,3.35E+09,Over $1 Billion,Manufacturing,211198,Cigarettes (Manufacturers),211198,Cigarettes (Manufacturers),213101,Tobacco Products-Manufacturers,A+,100,Subsidiary,"40,000+"
CONMED Corp,Utica,NY,13502-5994,Utica,525 French Rd,13502-5994,Oneida,3.16E+09,3.16E+09,www.conmed.com,Corasanti,Eugene R,CEO,Male,3100,1000 to 4999,6.17E+08,$500 Million - $1 Billion,Manufacturing,384209,Surgical Appliances-Manufacturers,384104,Physicians & Surgeons Equip & Supls-Mfrs,384598,Electromedical/Therapeutic Apprts (Mfrs),A+,100,Headquarter,"40,000+"
